StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_1,Q1_2,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q18_4_TEXT,Q19,Q20,Q21,Q22,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7,Q24_1,Q24_2,Q24_3,Q24_4,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q26_1,Q26_2,Q26_3,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q28_1,Q28_2,Q28_3,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_6_TEXT,Q31,Q32,Q32_4_TEXT,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q39_7_TEXT,Q40,Q40_8_TEXT,Q41,Q41_4_TEXT,ResponseType
12/22/21 20:23,12/22/21 20:32,100,502,TRUE,12/22/21 20:32,R_2EjekNMH1WbNnVY,,,anonymous,EN,I have read the above consent statement and AGREE to participate in this study,Yes,Yes,,,Neither opposed nor in support,Dredging ,,,,,Never heard of it,,,,,,,,,Positive,Positive,Yes,1-5 days,No,No,,,Yes,8-Apr,Yes,Wild caught,Don't know,Neutral,Neutral,Don't know,Don't know,Don't know,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,Neutral,Don't know,Agree,Agree,Don't know,Agree,Agree,Neutral,Neutral,4,3,1,2,5,6,1,2,5,3,4,6,,1960,Woman,,Middle Eastern or North African,Bachelor's degree,$75K - $100K,2,91361,Republican,other,Sales,None,,,,2
12/22/21 20:24,12/22/21 20:33,100,547,TRUE,12/22/21 20:33,R_1dgFGUMZVRzWysJ,,,anonymous,EN,I have read the above consent statement and AGREE to participate in this study,Yes,Yes,,,,,,,Neither opposed nor in support,Huh,Never heard of it,1,7,2,3,4,8,5,6,Neutral,Neutral,Yes,,Unsure,No,,,Yes,4-Jan,No,No preference,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Don't know,Neutral,Don't know,Agree,Don't know,Neutral,Don't know,Strongly Agree,Don't know,Don't know,Strongly Agree,Don't know,Don't know,Don't know,Don't know,Strongly Agree,Don't know,Don't know,Don't know,Don't know,Don't know,Strongly Agree,Don't know,Don't know,3,5,1,2,4,6,3,5,1,2,4,6,,1968,Woman,,White/Caucasian,Some college coursework completed,$25K - $50K,3,93010,Democrat,service industry,,None,,,,1
12/22/21 20:28,12/22/21 20:35,100,413,TRUE,12/22/21 20:35,R_DIfidxw5DSDfyTv,,,anonymous,EN,I have read the above consent statement and AGREE to participate in this study,Yes,Yes,,,,,,,Somewhat supportive,Ocean ,Basic understanding,1,8,6,7,4,5,3,2,Positive,Positive,Yes,1-5 days,No,No,,,Yes,4-Jan,No,Wild caught,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,1,6,5,3,4,2,2,5,1,3,4,6,,1982,Man,,Hispanic or Latinx,Some college coursework completed,$50K - $75K,4,93454,Indpendent,government,,Competitor,,,,1
12/22/21 20:39,12/22/21 20:55,100,958,TRUE,12/22/21 20:55,R_2XbWiKqDHlx3sKj,,,anonymous,EN,I have read the above consent statement and AGREE to participate in this study,Yes,Yes,Strongly supportive,Healthy ,,,,,,,"Heard of it, but don't know details",4,3,7,2,1,5,8,6,Positive,Very Positive,Yes,5-10 days,No,No,,,Yes,12-Aug,Yes,Wild caught,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Don't know,Disagree,Disagree,Disagree,Don't know,Strongly Agree,Strongly Agree,Agree,5,6,1,3,2,4,3,1,4,2,5,6,,1952,Woman,,White/Caucasian,Bachelor's degree,$125K - $150K,5,91320,Democrat,other,Retired ,None,,,,1
12/22/21 20:44,12/22/21 20:48,100,220,TRUE,12/22/21 20:48,R_1Oy6DwYR7VJJfSS,,,anonymous,EN,I have read the above consent statement and AGREE to participate in this study,Yes,Yes,,,Neither opposed nor in support,Veggies,,,,,Basic understanding,5,8,1,4,2,6,3,7,Neutral,Neutral,Yes,10-15 days,Yes,Yes,Shellfish,,Yes,4-Jan,Yes,Wild caught,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3,6,1,5,4,2,1,2,3,5,4,6,,2002,Woman,,White/Caucasian,High School or equivalent GED,< $25K,2,93041,Democrat,non-profit,,Employee,,,,0
12/22/21 20:54,12/22/21 21:04,100,546,TRUE,12/22/21 21:04,R_0B4wNzNQb3hqXVn,,,anonymous,EN,I have read the above consent statement and AGREE to participate in this study,Yes,Yes,,,,,Neither opposed nor in support,Farming ,,,Never heard of it,8,5,7,2,4,3,1,6,Unsure/Not familiar,Unsure/Not familiar,Yes,15+ days,No,Unsure,,,Yes,12-Aug,No,Wild caught,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Agree,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Neutral,Strongly Agree,Disagree,Don't know,Disagree,Disagree,Don't know,Strongly Agree,Don't know,Don't know,4,5,1,6,3,2,3,4,5,1,2,6,,1969,Woman,,"Black or African American,White/Caucasian",Bachelor's degree,> $150K,3,93117,Democrat,healthcare,,None,,,,1
12/22/21 21:02,12/22/21 21:14,100,751,TRUE,12/22/21 21:14,R_5uREd1KQNe5rrt7,,,anonymous,EN,I have read the above consent statement and AGREE to participate in this study,Yes,Yes,,,,,Strongly supportive,,,,Basic understanding,1,5,2,3,4,7,6,8,Very Positive,Very Positive,No,,Yes,No,Don't know type,,Yes,4-Jan,No,Farmed,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Don't know,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Don't know,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,3,4,2,5,6,1,1,3,4,2,5,6,,1982,Man,,"American Indian,White/Caucasian",High School or equivalent GED,$25K - $50K,3,93436,Republican,service industry,,Customer,,,,1
12/22/21 21:25,12/22/21 21:30,100,293,TRUE,12/22/21 21:30,R_1P6It9talIfNJJa,,,anonymous,EN,I have read the above consent statement and AGREE to participate in this study,Yes,Yes,,,,,,,Strongly supportive,Sealife,Basic understanding,8,6,2,7,3,4,1,5,Negative,Neutral,Yes,1-5 days,No,No,,,Yes,8-Apr,No,Wild caught,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,4,5,2,3,1,6,1,2,3,4,5,6,,1985,Man,,White/Caucasian,Bachelor's degree,$50K - $75K,4,93065,Republican,non-profit,,None,,,,1
12/22/21 21:25,12/22/21 21:38,100,766,TRUE,12/22/21 21:38,R_2pWtHEan9omf4a2,,,anonymous,EN,I have read the above consent statement and AGREE to participate in this study,Yes,Yes,Neither opposed nor in support,Kelp,,,,,,,"Heard of it, but don't know details",8,5,3,7,4,2,1,6,Neutral,Positive,No,,No,No,,,Yes,4-Jan,No,No preference,Don't know,Don't know,Disagree,Don't know,Don't know,Don't know,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Don't know,Neutral,Don't know,Agree,Strongly Agree,Disagree,Disagree,Don't know,Neutral,Disagree,Agree,Don't know,Don't know,5,6,1,2,3,4,3,1,4,2,5,6,,1951,Woman,,White/Caucasian,High School or equivalent GED,$50K - $75K,1,93003,Republican,other,Retired,None,,,,1
12/22/21 21:42,12/22/21 21:50,100,464,TRUE,12/22/21 21:50,R_2TtLi0SKvfnbXxr,,,anonymous,EN,I have read the above consent statement and AGREE to participate in this study,Yes,Yes,,,,,,,Neither opposed nor in support,Ocean,Basic understanding,7,8,5,3,2,4,6,1,Very Positive,Positive,Yes,5-10 days,Yes,No,"Fish,Seaweed",,Yes,4-Jan,Yes,Farmed,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Neutral,Agree,Neutral,Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,6,5,1,2,4,3,1,4,2,3,5,6,,1989,Man,,White/Caucasian,Master's degree,$25K - $50K,4,93455,Democrat,service industry,,Supplier,,,,1
12/22/21 21:48,12/22/21 21:57,100,512,TRUE,12/22/21 21:57,R_1etu8X96OsZ6ROr,,,anonymous,EN,I have read the above consent statement and AGREE to participate in this study,Yes,Yes,,,Somewhat supportive,Ocean ,,,,,Basic understanding,6,7,8,1,3,4,2,5,Neutral,Neutral,Yes,1-5 days,Yes,No,"Fish,Shellfish,Seaweed",,Yes,4-Jan,No,No preference,Don't know,Don't know,Don't know,Don't know,Don't know,Agree,Don't know,Agree,Agree,Agree,Agree,Strongly Agree,Don't know,Agree,Don't know,Neutral,Don't know,Agree,Don't know,Agree,Strongly Agree,Strongly Agree,Don't know,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Don't know,2,5,1,6,3,4,1,4,5,3,2,6,,2000,Woman,,Hispanic or Latinx,Associate degree,> $150K,6,93065,Democrat,education,,Researcher,,,,1
12/22/21 21:49,12/22/21 21:57,100,440,TRUE,12/22/21 21:57,R_2dfEuZd3JX57nOC,,,anonymous,EN,I have read the above consent statement and AGREE to participate in this study,Yes,Yes,Somewhat supportive,Slimy,,,,,,,"Heard of it, but don't know details",2,8,5,3,7,4,1,6,Positive,Positive,Yes,1-5 days,No,No,,,Yes,4-Jan,No,No preference,Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Strongly Agree,Agree,6,5,3,2,4,1,1,2,5,3,4,6,,1993,Man,,Hispanic or Latinx,Bachelor's degree,$25K - $50K,1,93030,Indpendent,healthcare,,Customer,,,,1
